in s,C2 in V
4.0762368E-02,-1.12135E+00
4.0762512E-02,-1.11354E+00
4.0762656E-02,-1.10182E+00
4.0762800E-02,-1.08815E+00
4.0762944E-02,-1.07643E+00
4.0763088E-02,-1.06471E+00
4.0763232E-02,-1.04323E+00
4.0763376E-02,-1.02760E+00
4.0763520E-02,-1.01393E+00
4.0763664E-02,-9.88539E-01
4.0763808E-02,-9.76820E-01
4.0763952E-02,-9.57289E-01
4.0764096E-02,-9.33852E-01
4.0764240E-02,-9.24086E-01
4.0764384E-02,-9.00648E-01
4.0764528E-02,-8.85023E-01
4.0764672E-02,-8.65492E-01
4.0764816E-02,-8.53773E-01
4.0764960E-02,-8.28383E-01
4.0765104E-02,-8.22523E-01
4.0765248E-02,-8.04945E-01
4.0765392E-02,-7.95180E-01
4.0765536E-02,-7.77602E-01
4.0765680E-02,-7.67836E-01
4.0765824E-02,-7.56117E-01
4.0765968E-02,-7.56117E-01
4.0766112E-02,-7.40492E-01
4.0766256E-02,-7.32680E-01
4.0766400E-02,-7.30727E-01
4.0766544E-02,-7.32680E-01
4.0766688E-02,-7.34633E-01
4.0766832E-02,-7.28773E-01
4.0766976E-02,-7.32680E-01
4.0767120E-02,-7.34633E-01
4.0767264E-02,-7.36586E-01
4.0767408E-02,-7.50258E-01
4.0767552E-02,-7.54164E-01
4.0767696E-02,-7.63930E-01
4.0767840E-02,-7.65883E-01
4.0767984E-02,-7.91273E-01
4.0768128E-02,-8.02992E-01
4.0768272E-02,-8.12758E-01
4.0768416E-02,-8.30336E-01
4.0768560E-02,-8.44008E-01
4.0768704E-02,-8.47914E-01
4.0768848E-02,-8.83070E-01
4.0768992E-02,-8.85023E-01
4.0769136E-02,-9.08461E-01
4.0769280E-02,-9.27992E-01
4.0769424E-02,-9.41664E-01
4.0769568E-02,-9.69008E-01
4.0769712E-02,-9.80727E-01
4.0769856E-02,-9.90492E-01
4.0770000E-02,-1.00026E+00
4.0770144E-02,-1.02370E+00
4.0770288E-02,-1.03737E+00
4.0770432E-02,-1.05104E+00
4.0770576E-02,-1.06276E+00
4.0770720E-02,-1.06666E+00
4.0770864E-02,-1.07252E+00
4.0771008E-02,-1.08424E+00
4.0771152E-02,-1.08424E+00
4.0771296E-02,-1.09987E+00
4.0771440E-02,-1.08815E+00
4.0771584E-02,-1.08229E+00
4.0771728E-02,-1.08620E+00
4.0771872E-02,-1.08815E+00
4.0772016E-02,-1.08229E+00
4.0772160E-02,-1.06471E+00
4.0772304E-02,-1.06080E+00
4.0772448E-02,-1.05299E+00
4.0772592E-02,-1.05104E+00
4.0772736E-02,-1.03541E+00
4.0772880E-02,-1.00807E+00
4.0773024E-02,-1.00416E+00
4.0773168E-02,-9.80727E-01
4.0773312E-02,-9.65102E-01
4.0773456E-02,-9.53383E-01
4.0773600E-02,-9.35805E-01
4.0773744E-02,-9.18227E-01
4.0773888E-02,-8.98695E-01
4.0774032E-02,-8.81117E-01
4.0774176E-02,-8.63539E-01
4.0774320E-02,-8.47914E-01
4.0774464E-02,-8.36195E-01
4.0774608E-02,-8.26430E-01
4.0774752E-02,-8.02992E-01
4.0774896E-02,-7.93227E-01
4.0775040E-02,-7.81508E-01
4.0775184E-02,-7.79555E-01
4.0775328E-02,-7.60023E-01
4.0775472E-02,-7.48305E-01
4.0775616E-02,-7.50258E-01
4.0775760E-02,-7.44398E-01
4.0775904E-02,-7.36586E-01
4.0776048E-02,-7.34633E-01
4.0776192E-02,-7.42445E-01
4.0776336E-02,-7.38539E-01
4.0776480E-02,-7.48305E-01
